Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
357, -0.5530, 0.8434, 0.1566, 0.1112, -0.8208, 585.43
358, -0.5527, 0.8433, 0.1567, 0.1114, -0.8208, 574.08
359, -0.5536, 0.8438, 0.1562, 0.1113, -0.8210, 571.21
360, -0.5529, 0.8436, 0.1564, 0.1117, -0.8211, 573.70
361, -0.5527, 0.8439, 0.1561, 0.1121, -0.8209, 572.87
362, -0.5545, 0.8440, 0.1560, 0.1107, -0.8213, 573.08
363, -0.5547, 0.8440, 0.1560, 0.1108, -0.8215, 573.13
364, -0.5524, 0.8432, 0.1568, 0.1115, -0.8206, 573.40
365, -0.5549, 0.8442, 0.1558, 0.1108, -0.8215, 572.19
366, -0.5544, 0.8439, 0.1561, 0.1108, -0.8213, 573.56
367, -0.5551, 0.8442, 0.1558, 0.1105, -0.8214, 573.08
368, -0.5543, 0.8440, 0.1560, 0.1109, -0.8212, 573.80
369, -0.5548, 0.8442, 0.1558, 0.1108, -0.8214, 572.54
370, -0.5558, 0.8445, 0.1555, 0.1103, -0.8216, 573.03
371, -0.5556, 0.8443, 0.1557, 0.1102, -0.8215, 572.86
