Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
385, 0.2481, 0.8474, 0.1526, 0.0956, 288.38
386, 0.2498, 0.8469, 0.1531, 0.0967, 287.44
387, 0.2484, 0.8477, 0.1523, 0.0961, 286.59
388, 0.2485, 0.8474, 0.1526, 0.0959, 287.92
389, 0.2501, 0.8469, 0.1531, 0.0970, 288.14
390, 0.2485, 0.8477, 0.1523, 0.0962, 287.60
391, 0.2488, 0.8473, 0.1527, 0.0961, 288.11
392, 0.2496, 0.8471, 0.1529, 0.0967, 273.66
393, 0.2489, 0.8475, 0.1525, 0.0964, 253.46
394, 0.2471, 0.8482, 0.1518, 0.0953, 253.28
395, 0.2471, 0.8481, 0.1519, 0.0952, 253.34
396, 0.2496, 0.8470, 0.1530, 0.0967, 253.66
397, 0.2484, 0.8475, 0.1525, 0.0959, 254.04
398, 0.2480, 0.8477, 0.1523, 0.0957, 253.40
399, 0.2471, 0.8481, 0.1519, 0.0952, 253.74
400, 0.2471, 0.8484, 0.1516, 0.0954, 253.27
401, 0.2493, 0.8481, 0.1519, 0.0973, 253.20
402, 0.2469, 0.8484, 0.1516, 0.0953, 253.31
403, 0.2481, 0.8477, 0.1523, 0.0958, 253.06
404, 0.2461, 0.8488, 0.1512, 0.0949, 253.46
405, 0.2475, 0.8480, 0.1520, 0.0955, 253.83
406, 0.2455, 0.8488, 0.1512, 0.0943, 253.35
407, 0.2462, 0.8486, 0.1514, 0.0947, 253.31
408, 0.2471, 0.8482, 0.1518, 0.0953, 253.77
409, 0.2459, 0.8487, 0.1513, 0.0946, 253.39
410, 0.2458, 0.8490, 0.1510, 0.0948, 253.32
411, 0.2475, 0.8480, 0.1520, 0.0955, 253.35
412, 0.2461, 0.8488, 0.1512, 0.0949, 253.48
413, 0.2468, 0.8484, 0.1516, 0.0952, 253.40
414, 0.2458, 0.8490, 0.1510, 0.0948, 253.63
415, 0.2462, 0.8488, 0.1512, 0.0949, 253.56
416, 0.2454, 0.8491, 0.1509, 0.0944, 253.17
417, 0.2460, 0.8489, 0.1511, 0.0949, 253.24
418, 0.2463, 0.8485, 0.1515, 0.0949, 253.38
419, 0.2468, 0.8488, 0.1512, 0.0956, 324.77
420, 0.2446, 0.8495, 0.1505, 0.0941, 514.19
421, 0.2466, 0.8489, 0.1511, 0.0955, 513.81
422, 0.2447, 0.8494, 0.1506, 0.0941, 514.53
423, 0.2468, 0.8485, 0.1515, 0.0954, 513.97
424, 0.2470, 0.8482, 0.1518, 0.0951, 514.31
425, 0.2441, 0.8496, 0.1504, 0.0937, 514.22
426, 0.2452, 0.8492, 0.1508, 0.0944, 514.63
427, 0.2444, 0.8495, 0.1505, 0.0939, 514.36
428, 0.2453, 0.8496, 0.1504, 0.0949, 514.15
429, 0.2441, 0.8498, 0.1502, 0.0939, 513.70
430, 0.2435, 0.8502, 0.1498, 0.0937, 513.27
431, 0.2449, 0.8498, 0.1502, 0.0946, 514.12
432, 0.2435, 0.8500, 0.1500, 0.0935, 514.53
433, 0.2428, 0.8505, 0.1495, 0.0933, 514.01
434, 0.2450, 0.8494, 0.1506, 0.0945, 514.35
435, 0.2441, 0.8502, 0.1498, 0.0943, 514.32
436, 0.2431, 0.8504, 0.1496, 0.0935, 514.04
437, 0.2445, 0.8499, 0.1501, 0.0944, 514.21
438, 0.2424, 0.8506, 0.1494, 0.0930, 514.04
439, 0.2435, 0.8501, 0.1499, 0.0936, 514.57
440, 0.2437, 0.8501, 0.1499, 0.0938, 514.12
441, 0.2444, 0.8499, 0.1501, 0.0943, 514.05
442, 0.2437, 0.8501, 0.1499, 0.0938, 514.01
443, 0.2437, 0.8500, 0.1500, 0.0937, 514.02
444, 0.2437, 0.8503, 0.1497, 0.0940, 514.44
445, 0.2441, 0.8503, 0.1497, 0.0944, 514.45
